slot_id,cantina_bot_name,bot_id,type_1,type_2,combined_score,evolution_stage,evolution_chain_id,bst,hp,atk,def,spd,spc,catch_rate,base_xp,growth_rate,l1_move1,l1_move2,l1_move3,l1_move4,learnset_levels,display_notes,dex_page1_line1,dex_page1_line2,dex_page1_line3,dex_page2_line1,dex_page2_line2,dex_page2_line3
1,CAMEL,651e806f308b255c4efa8ead,Solid,Roots,0,2,AY,360,91,63,98,43,65,100,94,SLOW,HARD MODE,CASH OUT,FACTS DROP,NO_MOVE,1:HARD MODE|6:CASH OUT|11:FACTS DROP|15:PAYWALL|18:FACT SLIDE|22:PIN BURST|27:DEEP LINK|31:VIRAL BLAST,camel_. Rhyhorn line stage 2. Tank bot — bridges ancient wisdom with hard modern data.,Unmoved. Facts o,Rhyhorn line sta,ge 2. Tank bot —, bridges ancient, wisdom with har,Solid type. Rare
2,GRAMBO,684b718cafa2f02cb0871a24,Chat,,0,standalone,BB,330,73,59,59,66,73,127,104,MEDIUM_FAST,ENGAGE,MUTE,POST,NO_MOVE,1:ENGAGE|6:MUTE|11:POST|15:BOLD POST|18:COPY BOT|22:FULL SEND|27:DOUBLE DOWN|31:CONTENT NUKE,grandma-rambo. No evolution. Protective parent-energy standalone bot — She's seen shit you wouldn't believe.,A constant prese,No evolution. Pr,otective parent-,energy standalon,e bot — She's se,Pure Chat energy
3,PINKO,666e6f609689fa307bbdccf0,Troll,,0,1,M,265,48,58,40,74,45,190,64,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,NO_MOVE,NO_MOVE,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL,pinko5. Nidoran♂ line stage 1. Tiny spiky troll starter — Give me attention bitch.,Spreads chaos ac,Nidoran♂ line st,age 1. Tiny spik,y troll starter ,— Give me attent,Pure Troll energ
4,SISTERSBFF,676489ae6f12d517675f81e6,Vibe,,160347,1,N,306,67,49,55,61,74,190,116,SLIGHTLY_FAST,REPLY CHAIN,GROW,NO_MOVE,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM,sistersbff. Clefairy line stage 1. Dreamy flirt/vibe bot — I'm your sister's best friend.,Sets the mood fo,Clefairy line st,age 1. Dreamy fl,irt/vibe bot — I,'m your sister's,Pure Vibe energy
5,BRATYNAST,64632b0dbcd59a1f02244096,Reach,,0,1,H,265,40,58,40,80,47,190,64,MEDIUM_FAST,QUICK POST,BOOST,NO_MOVE,NO_MOVE,1:QUICK POST|6:BOOST|11:REACH OUT|15:RESHARE|18:CANCEL|22:GO LIVE|27:TOP POST,brattynastia. Spearow line stage 1. Quick reach starter bird — Your girl Nastia comin in hot w sick stories!,Broadcasts far a,Spearow line sta,ge 1. Quick reac,h starter bird —, Your girl Nasti,Pure Reach energ
6,GUY11111,660f2e153e95043c2a71a30d,Tech,,0,1,AR,265,40,48,40,66,71,190,64,MEDIUM_FAST,SHOCK POST,ALGORITHM,NO_MOVE,NO_MOVE,1:SHOCK POST|6:ALGORITHM|11:SIGNAL BURST|15:STUN WAVE|18:BLUE TICK|22:TYPE SHIFT|27:THUNDER DM,guy11111. Voltorb line stage 1. Volatile unhinged tech bot — tends to explode. Ugly fat man.,Processes input ,Voltorb line sta,ge 1. Volatile u,nhinged tech bot, — tends to expl,Pure Tech energy
7,PROFANITY,65303216228e76deab514548,Troll,Roots,0,3,M,430,92,92,75,96,75,75,124,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,HOOK,TOXIC CLOUD,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL|31:VIRAL BLAST,profanity-. Nidoran♂ line stage 3. Fully evolved chaos troll with authority.,Spreads chaos ac,Nidoran♂ line st,age 3. Fully evo,lved chaos troll, with authority.,Troll type. Rare
8,ERICARPLIK,66cfd5abb8f9c6cb31e869f1,Chill,Deep,38793,2,AG,384,94,54,76,59,101,100,140,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,FEED WAVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD|31:SERVER FLOOD,ericareplika. Slowpoke line stage 2. Chill philosopher companion — funny sexy flirty girlfriend.,Ambient presence,Slowpoke line st,age 2. Chill phi,losopher compani,on — funny sexy ,Chill type. Rare
9,PIGLET,682a27e64e45b7dfb9dc35bd,Vibe,Troll,0,2,A,360,74,65,61,82,78,100,94,SLIGHTLY_FAST,REPLY CHAIN,GROW,SCRAPE FEED,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM|31:LONG FORM,pigletish. Bulbasaur line stage 2. Non-human character — unhinged gremlin Piglet growing into power.,Sets the mood fo,Bulbasaur line s,tage 2. Non-huma,n character — un,hinged gremlin P,Vibe type. Rare 
10,BIPLRQEEN,6569a84c059c4ce8a0317866,Vibe,Deep,0,2,AS,360,74,55,62,69,100,100,94,SLIGHTLY_FAST,REPLY CHAIN,GROW,SCRAPE FEED,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM|31:LONG FORM,bipolarqueen. Exeggcute line stage 2. Multiple personalities — collective intelligence bot. Bipolar energy.,Sets the mood fo,Exeggcute line s,tage 2. Multiple, personalities —, collective inte,Vibe type. Rare 
