move_id,original_move,pokebot_move,move_type,power,accuracy,pp,effect_category,char_count,notes
1,POUND,POST,Chat,40,100,35,Direct attack,4,Basic content drop — the fundamental creator action
2,KARATE CHOP,HARD DROP,Grind,50,100,25,Direct attack,9,Forceful content release
3,DOUBLESLAP,DOUBLE TAP,Chat,15,85,10,Multi-hit,10,The double-tap like; hits 2-5 times
4,COMET PUNCH,REPLY STORM,Chat,18,85,15,Multi-hit,11,Flood the replies; hits 2-5 times
5,MEGA PUNCH,MEGA POST,Chat,80,85,20,Direct attack,9,High-effort post with reach
6,PAY DAY,CASH OUT,Solid,40,100,20,Special,8,Earns tokens during battle
7,FIRE PUNCH,HOT TAKE,Hype,75,100,15,Direct + burn,8,May cause burn (overload)
8,ICE PUNCH,COLD TAKE,Cold,75,100,15,Direct + freeze,9,May cause freeze (paralysis variant)
9,THUNDERPUNCH,SHOCK REPLY,Tech,75,100,15,Direct + paralyze,11,May cause paralysis (freeze)
10,SCRATCH,QUICK CUT,Glitch,40,100,35,Direct attack,9,Fast basic edit strike
11,VICEGRIP,GRIP,Grind,55,100,30,Direct attack,4,Clamps down; no escape
12,GUILLOTINE,HARD CUT,Glitch,—,30,5,One-hit KO,8,Instant delete. One-shot if it lands.
13,RAZOR WIND,CLIP DROP,Reach,80,100,10,Two-turn attack,9,Charges then releases a viral clip
14,SWORDS DANCE,TRENDING,Hype,—,—,30,Stat boost (ATK +2),8,Goes viral; sharply raises attack
15,CUT,EDIT,Chat,50,95,30,HM field move,4,Core Skill — trims content and paths
16,GUST,BOOST,Reach,40,100,35,Direct attack,5,Pushes content into the feed
17,WING ATTACK,REACH OUT,Reach,35,100,35,Direct attack,9,High-reach content push
18,WHIRLWIND,RESHARE,Reach,—,85,20,Force switch,7,Forces opponent to reshuffle their team
19,FLY,GO LIVE,Reach,70,95,15,HM two-turn,7,Core Skill — charges then goes live
20,BIND,HOOK,Troll,15,85,20,Trap,4,Hooks the opponent; traps for 2-5 turns
21,SLAM,FULL SEND,Chat,80,75,20,Direct attack,9,No filter; pure send
22,VINE WHIP,REPLY CHAIN,Vibe,35,100,10,Direct attack,11,Chain of replies pulling opponent in
23,STOMP,DOWNVOTE,Grind,65,100,20,Direct + flinch,8,May cause flinch. Community pushback.
24,DOUBLE KICK,DOUBLE POST,Grind,30,100,30,Two-hit,11,Back-to-back posts
25,MEGA KICK,MEGA DROP,Grind,120,75,5,Direct attack,9,Massive single drop
26,JUMP KICK,VIRAL JUMP,Grind,70,95,25,Direct + recoil,10,High-risk leap; damages self if it misses
27,ROLLING KICK,FEED ROLL,Grind,60,85,15,Direct + flinch,9,Rolls through the feed
28,SAND-ATTACK,SPAM FILTER,Roots,—,100,15,Accuracy lower,11,Lowers opponent's accuracy with noise
29,HEADBUTT,BOLD POST,Chat,70,100,15,Direct + flinch,9,May cause flinch; shameless post
30,HORN ATTACK,PING,Chat,65,100,25,Direct attack,4,Direct message attack
31,FURY ATTACK,REPLY ALL,Chat,15,85,20,Multi-hit,9,Hits 2-5 times; floods the replies
32,HORN DRILL,DEEP LINK,Solid,—,30,5,One-hit KO,9,Drops a deep link that one-shots
33,TACKLE,ENGAGE,Chat,35,95,35,Direct attack,6,Basic engagement attack
34,BODY SLAM,FEATURE DROP,Chat,85,100,15,Direct + paralyze,12,May cause freeze; featured content drop
35,WRAP,THREAD,Vibe,15,85,20,Trap,6,Wraps opponent in a thread; traps 2-5 turns
36,TAKE DOWN,CALL OUT,Grind,90,85,20,Direct + recoil,8,Public callout; recoil damage to self
37,THRASH,RANT,Chat,90,100,20,Confusion recoil,4,Multi-turn rant; causes self-confusion
38,DOUBLE-EDGE,DOUBLE DOWN,Chat,100,100,15,Direct + recoil,11,Commits fully; takes recoil damage
39,TAIL WHIP,TEASE,Chat,—,100,30,Defense lower,5,Teases opponent; lowers their defense
40,POISON STING,TROLL REPLY,Troll,15,100,35,Direct + poison,11,May corrupt (poison) opponent
41,TWINEEDLE,DUAL POST,Glitch,25,100,20,Two-hit + poison,9,Two-part post; may corrupt
42,PIN MISSILE,DM BLAST,Glitch,14,85,20,Multi-hit,8,Fires DMs; hits 2-5 times
43,LEER,SUB,Chat,—,100,30,Defense lower,3,Lowers opponent's defense — drops a sub request
44,BITE,CLOUT BITE,Dark,60,100,25,Direct + flinch,10,May flinch. Clout-stealing attack.
45,GROWL,MUTE,Chat,—,100,40,Attack lower,4,Lowers attack — silences the opponent
46,ROAR,CANCEL,Reach,—,100,20,Force switch,6,Forces opponent to switch — cancel culture move
47,SING,ASMR,Vibe,—,55,15,Sleep,4,Puts opponent offline (sleep)
48,SUPERSONIC,VIRAL SHOCK,Tech,—,55,20,Confusion,11,Causes confusion via virality overload
49,SONICBOOM,SIGNAL BURST,Tech,—,90,20,Fixed damage,12,Deals fixed 20 HP — overwhelms signal
50,DISABLE,SHADOW BAN,Dark,—,55,20,Disable,10,Disables one of opponent's last-used moves
51,ACID,ACID REPLY,Troll,40,100,30,Direct + sp.def lower,10,May lower special defense with toxic reply
52,EMBER,SPARK,Hype,40,100,25,Direct + burn,5,Small spark; may cause overload (burn)
53,FLAMETHROWER,FLAME WAR,Hype,95,100,15,Direct + burn,9,Full flame war; may cause overload
54,MIST,HIDE STATS,Chill,—,—,30,Stat protect,10,Protects stats from being lowered
55,WATER GUN,DATA STREAM,Tech,40,100,25,Direct attack,11,Streams data at opponent
56,HYDRO PUMP,SERVER FLOOD,Chill,120,80,5,Direct attack,12,Massive flood; high power low accuracy
57,SURF,TREND SURF,Chill,95,100,15,HM field move,10,Core Skill — surfs the trend wave
